merk;jenis;perusahaan;harga;n;p;k
ABABIL;NPK Padat (SNI);PT. Agro Nusantara Indonesia;Rp 20.000/kg;15;15;15
BAHARI;NPK Padat (SNI);CV. Jaya Tani;Rp 6.000/kg;7;7;7
BAYFOLAN ®;NPK Cair;PT. Bayer Indonesia;Rp 146.000/kg;11;8;6
BIANGLALA;NPK Padat (SNI);PT Bumi Indo Raharja;Rp.13.500/kg;18;18;6
BUAMAX;NPK Padat (SNI);PT. HANAMPI SEJAHTERA KAHURIPAN;Rp 13.500/kg;8;20;20
BUNGA TULIP;NPK Padat (SNI);PT. FERTA INDONESIA PERSADA;Rp 20.000/kg;15;15;15
CAPING TANI PLUS;NPK Padat (SNI);CV. Rahma Jaya;Rp 10.000/kg;6;10;15
CSN SENDAWA PUTIH PAK TANI;Pupuk Cair Makro-Mikro Campuran;CV. SAPROTAN UTAMA;Rp 25.000/kg;16;16;16
Daun Sawit;NPK Padat (SNI);PT. Multi Mas Chemindo;Rp 12.000/kg;15;15;15
FERTINDO;NPK Padat (SNI);PT. Anugerah Pupuk Lestari;Rp 32.000/kg;15;15;15
GROFAST;NPK Padat (SNI);PT. Hextar Fertilizer Indonesia;Rp 104.000/kg;16;16;16
HOLLAND PAK TANI;NPK Padat (SNI);CV. SAPROTAN UTAMA;Rp 23.500kg;15;15;15
JADI MAS;NPK Padat (SNI);PT JADI MAS;Rp 16.000/kg;16;16;16
java ion+;NPK Padat (SNI);CV. Javamas Agrophos;Rp 40.000/kg;20;10;20
KANCIL EMAS;NPK Padat (SNI);PT. SANLEX MALINDO;Rp 18.500/kg;16;16;16
LAO YING;NPK Padat (SNI);PT. MEST INDONESIY;Rp 25.000/kg;15;10;20
PAK TANI;NPK Padat (SNI);CV. SAPROTAN UTAMA;Rp 25.000/kg;16;16;16
Pamafert;NPK Padat (SNI);PT SRI REJEKI FERTILIZER;Rp 60.000/kg;12;18;11
PRIMAVIT;NPK Padat (SNI);UD. PRIMAGRO;Rp 22.000/kg;16;16;16
PROVIT HIJAU;NPK Padat (SNI);PT.MEROKE TETAP JAYA;Rp 64.000/kg;27;18;9
PROVIT MERAH;NPK Padat (SNI);PT.MEROKE TETAP JAYA;Rp 60.000/kg;15;30;15
PROVIT ORANGE;NPK Padat (SNI);PT.MEROKE TETAP JAYA;Rp 56.000/kg;8;9;39
PUPINDO;NPK Padat (SNI);PT. Dupan Anugerah Lestari;Rp 14.000/kg;11;7;18
PUSRI;NPK Padat (SNI);PT PUPUK SRIWIDJAJA PALEMBANG;Rp 18.500/kg;15;15;15
SAPI LIAR;NPK Padat (SNI);PT. Centra Agro Pratama;Rp 1.700/kg;3;2;1
