merk,C1_Harga,C2_N,C3_P,C4_K,C5_Bentuk
ABABIL,0.12681912681912683,0.5,0.4642857142857143,0.3684210526315789,0.0
BAHARI,0.0297990297990298,0.16666666666666666,0.17857142857142858,0.15789473684210525,0.0
BAYFOLAN ®,1.0,0.3333333333333333,0.21428571428571427,0.13157894736842105,1.0
BIANGLALA,0.08177408177408177,0.625,0.5714285714285714,0.13157894736842105,0.0
BUAMAX,0.08177408177408177,0.20833333333333334,0.6428571428571429,0.5,0.0
BUNGA TULIP,0.12681912681912683,0.5,0.4642857142857143,0.3684210526315789,0.0
CAPING TANI PLUS,0.05751905751905752,0.125,0.2857142857142857,0.3684210526315789,0.0
CSN SENDAWA PUTIH PAK TANI,0.16146916146916146,0.5416666666666666,0.5,0.39473684210526316,1.0
Daun Sawit,0.07137907137907137,0.5,0.4642857142857143,0.3684210526315789,0.0
FERTINDO,0.20997920997921,0.5,0.4642857142857143,0.3684210526315789,0.0
GROFAST,0.7089397089397089,0.5416666666666666,0.5,0.39473684210526316,0.0
HOLLAND PAK TANI,0.15107415107415106,0.5,0.4642857142857143,0.3684210526315789,0.0
JADI MAS,0.0990990990990991,0.5416666666666666,0.5,0.39473684210526316,0.0
java ion+,0.2654192654192654,0.7083333333333334,0.2857142857142857,0.5,0.0
KANCIL EMAS,0.11642411642411643,0.5416666666666666,0.5,0.39473684210526316,0.0
LAO YING,0.16146916146916146,0.5,0.2857142857142857,0.5,0.0
PAK TANI,0.16146916146916146,0.5416666666666666,0.5,0.39473684210526316,0.0
Pamafert,0.404019404019404,0.375,0.5714285714285714,0.2631578947368421,0.0
PRIMAVIT,0.14067914067914067,0.5416666666666666,0.5,0.39473684210526316,0.0
PROVIT HIJAU,0.43173943173943174,1.0,0.5714285714285714,0.21052631578947367,0.0
PROVIT MERAH,0.404019404019404,0.5,1.0,0.3684210526315789,0.0
PROVIT ORANGE,0.3762993762993763,0.20833333333333334,0.25,1.0,0.0
PUPINDO,0.08523908523908524,0.3333333333333333,0.17857142857142858,0.4473684210526316,0.0
PUSRI,0.11642411642411643,0.5,0.4642857142857143,0.3684210526315789,0.0
SAPI LIAR,0.0,0.0,0.0,0.0,0.0
