merk,jenis,perusahaan,harga,n,p,k,C1_Harga,C2_N,C3_P,C4_K,C5_Bentuk,norm_C1,norm_C2_N,norm_C3_P,norm_C4_K,norm_C5_Bentuk,Skor_Akhir,Ranking
PROVIT HIJAU,NPK Padat (SNI),PT.MEROKE TETAP JAYA,Rp 64.000/kg,27,18,9,64000.0,27,18,9,3,0.0265625,1.0,0.6,0.23076923076923078,0.6,0.6603524474110032,1
CSN SENDAWA PUTIH PAK TANI,Pupuk Cair Makro-Mikro Campuran,CV. SAPROTAN UTAMA,Rp 25.000/kg,16,16,16,25000.0,16,16,16,5,0.068,0.5925925925925926,0.5333333333333333,0.41025641025641024,1.0,0.5509735673891014,2
java ion+,NPK Padat (SNI),CV. Javamas Agrophos,Rp 40.000/kg,20,10,20,40000.0,20,10,20,3,0.0425,0.7407407407407407,0.3333333333333333,0.5128205128205128,0.6,0.5402949478604817,3
BIANGLALA,NPK Padat (SNI),PT Bumi Indo Raharja,Rp.13.500/kg,18,18,6,13500.0,18,18,6,3,0.1259259259259259,0.6666666666666666,0.6,0.15384615384615385,0.6,0.5108964510259009,4
PROVIT MERAH,NPK Padat (SNI),PT.MEROKE TETAP JAYA,Rp 60.000/kg,15,30,15,60000.0,15,30,15,3,0.028333333333333332,0.5555555555555556,1.0,0.38461538461538464,0.6,0.49716480337354124,5
JADI MAS,NPK Padat (SNI),PT JADI MAS,Rp 16.000/kg,16,16,16,16000.0,16,16,16,3,0.10625,0.5925925925925926,0.5333333333333333,0.41025641025641024,0.6,0.48895776126965446,6
KANCIL EMAS,NPK Padat (SNI),PT. SANLEX MALINDO,Rp 18.500/kg,16,16,16,18500.0,16,16,16,3,0.0918918918918919,0.5925925925925926,0.5333333333333333,0.41025641025641024,0.6,0.48649631096233037,7
PRIMAVIT,NPK Padat (SNI),UD. PRIMAGRO,Rp 22.000/kg,16,16,16,22000.0,16,16,16,3,0.07727272727272727,0.5925925925925926,0.5333333333333333,0.41025641025641024,0.6,0.48399010701305495,8
PAK TANI,NPK Padat (SNI),CV. SAPROTAN UTAMA,Rp 25.000/kg,16,16,16,25000.0,16,16,16,3,0.068,0.5925925925925926,0.5333333333333333,0.41025641025641024,0.6,0.4824004576509431,9
GROFAST,NPK Padat (SNI),PT. Hextar Fertilizer Indonesia,Rp 104.000/kg,16,16,16,104000.0,16,16,16,3,0.016346153846153847,0.5925925925925926,0.5333333333333333,0.41025641025641024,0.6,0.473545295499179,10
Daun Sawit,NPK Padat (SNI),PT. Multi Mas Chemindo,Rp 12.000/kg,15,15,15,12000.0,15,15,15,3,0.14166666666666666,0.5555555555555556,0.5,0.38461538461538464,0.6,0.47203662842012367,11
PUSRI,NPK Padat (SNI),PT PUPUK SRIWIDJAJA PALEMBANG,Rp 18.500/kg,15,15,15,18500.0,15,15,15,3,0.0918918918918919,0.5555555555555556,0.5,0.38461538461538464,0.6,0.4635036006880668,12
ABABIL,NPK Padat (SNI),PT. Agro Nusantara Indonesia,Rp 20.000/kg,15,15,15,20000.0,15,15,15,3,0.085,0.5555555555555556,0.5,0.38461538461538464,0.6,0.46232210454055117,13
BUNGA TULIP,NPK Padat (SNI),PT. FERTA INDONESIA PERSADA,Rp 20.000/kg,15,15,15,20000.0,15,15,15,3,0.085,0.5555555555555556,0.5,0.38461538461538464,0.6,0.46232210454055117,14
HOLLAND PAK TANI,NPK Padat (SNI),CV. SAPROTAN UTAMA,Rp 23.500kg,15,15,15,23500.0,15,15,15,3,0.07234042553191489,0.5555555555555556,0.5,0.38461538461538464,0.6,0.4601518385674552,15
FERTINDO,NPK Padat (SNI),PT. Anugerah Pupuk Lestari,Rp 32.000/kg,15,15,15,32000.0,15,15,15,3,0.053125,0.5555555555555556,0.5,0.38461538461538464,0.6,0.45685768485829176,16
LAO YING,NPK Padat (SNI),PT. MEST INDONESIY,Rp 25.000/kg,15,10,20,25000.0,15,10,20,3,0.068,0.5555555555555556,0.3333333333333333,0.5128205128205128,0.6,0.4559802687064824,17
BAYFOLAN ®,NPK Cair,PT. Bayer Indonesia,Rp 146.000/kg,11,8,6,146000.0,11,8,6,5,0.011643835616438357,0.4074074074074074,0.26666666666666666,0.15384615384615385,1.0,0.4060123489628743,18
Pamafert,NPK Padat (SNI),PT SRI REJEKI FERTILIZER,Rp 60.000/kg,12,18,11,60000.0,12,18,11,3,0.028333333333333332,0.4444444444444444,0.6,0.28205128205128205,0.6,0.3991673531430813,19
PUPINDO,NPK Padat (SNI),PT. Dupan Anugerah Lestari,Rp 14.000/kg,11,7,18,14000.0,11,7,18,3,0.12142857142857143,0.4074074074074074,0.23333333333333334,0.46153846153846156,0.6,0.3807092889131724,20
BUAMAX,NPK Padat (SNI),PT. HANAMPI SEJAHTERA KAHURIPAN,Rp 13.500/kg,8,20,20,13500.0,8,20,20,3,0.1259259259259259,0.2962962962962963,0.6666666666666666,0.5128205128205128,0.6,0.37145478517646807,21
PROVIT ORANGE,NPK Padat (SNI),PT.MEROKE TETAP JAYA,Rp 56.000/kg,8,9,39,56000.0,8,9,39,3,0.030357142857142857,0.2962962962962963,0.3,1.0,0.6,0.3658105967207909,22
SAPI LIAR,NPK Padat (SNI),PT. Centra Agro Pratama,Rp 1.700/kg,3,2,1,1700.0,3,2,1,3,1.0,0.1111111111111111,0.06666666666666667,0.02564102564102564,0.6,0.3357301167009905,23
BAHARI,NPK Padat (SNI),CV. Jaya Tani,Rp 6.000/kg,7,7,7,6000.0,7,7,7,3,0.2833333333333333,0.25925925925925924,0.23333333333333334,0.1794871794871795,0.6,0.31238125592494526,24
CAPING TANI PLUS,NPK Padat (SNI),CV. Rahma Jaya,Rp 10.000/kg,6,10,15,10000.0,6,10,15,3,0.17,0.2222222222222222,0.3333333333333333,0.38461538461538464,0.6,0.30240629596940277,25
